"";"SinS2_contig";"SinS2_start";"SinS2_end";"SinS2_strand"
"ASIC005195";"AXCK02017899";"28648";"29561";"1"
"ASIC005196";"AXCK02017899";"33728";"34020";"1"
"ASIC005198";"AXCK02026963";"322";"933";"-1"
"ASIC005200";"KI916368";"530709";"531033";"-1"
"ASIC005201";"KI916368";"527485";"527943";"1"
"ASIC005202";"KI916368";"521198";"523099";"1"
"ASIC005203";"KI916368";"518820";"520431";"1"
"ASIC005204";"KI916368";"482703";"483706";"-1"
"ASIC005205";"KI916368";"466553";"480741";"-1"
"ASIC005206";"KI916368";"457439";"466213";"-1"
"ASIC005209";"KI916368";"437577";"438580";"-1"
"ASIC005210";"KI916368";"437085";"437479";"-1"
"ASIC005211";"AXCK02025607";"286";"1547";"1"
"ASIC025357";"AXCK02024244";"1054";"1250";"-1"
"ASIC005212";"KI916368";"412511";"413992";"1"
"ASIC005213";"KI916368";"401570";"409800";"1"
"ASIC005214";"KI916368";"397930";"401230";"-1"
"ASIC005215";"KI916368";"386243";"393216";"1"
"ASIC005216";"KI916368";"383663";"385307";"1"
"ASIC005217";"KI916368";"365670";"380813";"1"
"ASIC005218";"KI916368";"350631";"351238";"1"
"ASIC005220";"KI916368";"332746";"343772";"1"
"ASIC005221";"KI916368";"330557";"331204";"1"
"ASIC005222";"KI916368";"329639";"330581";"1"
"ASIC005223";"KI916368";"326755";"328518";"-1"
"ASIC005224";"KI916368";"321783";"323394";"1"
"ASIC005225";"KI916368";"316735";"319950";"-1"
"ASIC005226";"KI916368";"311171";"314793";"1"
"ASIC005227";"KI916368";"303384";"306697";"1"
"ASIC005228";"KI916368";"299852";"300792";"1"
"ASIC005229";"KI916368";"294586";"297909";"-1"
"ASIC005231";"KI916368";"286965";"289032";"1"
"ASIC005232";"KI916368";"283457";"284953";"-1"
"ASIC005233";"KI916368";"279556";"282491";"1"
"ASIC005234";"KI916368";"273715";"274968";"1"
"ASIC005235";"KI916368";"270306";"272251";"-1"
"ASIC005236";"KI916368";"267826";"269529";"1"
"ASIC005237";"KI916368";"267230";"267535";"1"
"ASIC005238";"KI916368";"264315";"266093";"1"
"ASIC005239";"KI916368";"257864";"259727";"-1"
"ASIC005240";"KI916368";"249550";"255227";"-1"
"ASIC005242";"KI916368";"243925";"243924";"-1"
"ASIC005244";"AXCK02027252";"1274";"1579";"1"
"ASIC005246";"KI916368";"211255";"211653";"-1"
"ASIC005247";"KI916368";"209193";"210744";"-1"
"ASIC005248";"KI916368";"206095";"206558";"-1"
"ASIC005249";"KI916368";"205350";"205697";"1"
"ASIC005250";"KI916368";"201582";"204380";"-1"
"ASIC005251";"KI916368";"197385";"197683";"-1"
"ASIC005254";"KI916368";"109723";"110019";"-1"
"ASIC005255";"KI916368";"101645";"102049";"-1"
"ASIC005256";"KI916368";"96768";"98387";"-1"
"ASIC005257";"KI916368";"94248";"95862";"-1"
"ASIC005260";"KI916368";"71311";"71317";"1"
"ASIC005106";"KI916368";"52902";"54364";"1"
"ASIC005107";"AXCK02025667";"796";"1612";"1"
"ASIC005108";"AXCK02025667";"1068";"1130";"1"
"ASIC005109";"AXCK02024416";"323";"1378";"-1"
"ASIC005110";"KI917138";"5271";"5819";"-1"
"ASIC005112";"KI916368";"21274";"21630";"-1"
"ASIC005113";"KI916368";"14062";"18630";"1"
"ASIC005114";"KI916368";"12598";"13036";"-1"
"ASIC005115";"KI916368";"7241";"7692";"1"
"ASIC005118";"KI917138";"45569";"46003";"-1"
"ASIC005119";"AXCK02026892";"1074";"1653";"1"
"ASIC005120";"AXCK02025784";"1284";"2064";"1"
"ASIC005121";"AXCK02022545";"1471";"6354";"-1"
"ASIC005122";"AXCK02020666";"5812";"6240";"-1"
"ASIC005123";"AXCK02020666";"9565";"10091";"-1"
"ASIC005124";"KI916892";"2327";"3066";"1"
"ASIC005125";"KI916892";"9902";"11779";"1"
"ASIC005126";"KI916892";"12461";"14767";"-1"
"ASIC005128";"KI916892";"15856";"16229";"-1"
"ASIC005129";"KI916892";"37162";"38037";"1"
"ASIC005130";"KI916892";"38628";"39771";"-1"
"ASIC005131";"KI916892";"42226";"42659";"1"
"ASIC005132";"KI916892";"42967";"45746";"1"
"ASIC005133";"KI916892";"48420";"48842";"-1"
"ASIC005134";"KI916892";"50149";"51210";"1"
"ASIC005135";"KI916892";"51841";"54963";"1"
"ASIC005136";"KI916892";"56042";"56684";"1"
"ASIC005137";"KI916892";"57078";"62397";"-1"
"ASIC025020";"KI916892";"58445";"58637";"-1"
"ASIC005139";"KI916892";"64668";"67010";"-1"
"ASIC005140";"KI916892";"67293";"68447";"1"
"ASIC005141";"KI916892";"76541";"77105";"-1"
"ASIC005143";"AXCK02022079";"2795";"4257";"1"
"ASIC005144";"AXCK02022079";"1850";"2833";"1"
"ASIC005146";"AXCK02021116";"5394";"5726";"-1"
"ASIC005147";"KI916663";"37740";"38042";"-1"
"ASIC005148";"KI916663";"38585";"39037";"1"
"ASIC005150";"KI916663";"49663";"50295";"-1"
"ASIC005151";"KI916663";"53339";"53806";"1"
"ASIC005152";"KI916663";"54086";"54530";"1"
"ASIC005153";"KI916663";"57586";"58266";"1"
"ASIC005154";"KI916663";"58392";"60007";"1"
"ASIC005155";"KI916663";"60962";"63152";"-1"
"ASIC005156";"KI916663";"63999";"65904";"1"
"ASIC005157";"KI916663";"65827";"67032";"-1"
"ASIC005159";"KI916663";"68946";"68534";"-1"
"ASIC005161";"KI916663";"70806";"71412";"-1"
"ASIC005162";"KI916663";"71516";"73508";"1"
"ASIC005163";"KI916663";"86409";"92567";"1"
"ASIC005164";"KI916663";"92643";"94199";"-1"
"ASIC005165";"KI916663";"99534";"105814";"1"
"ASIC005166";"KI916663";"110992";"111927";"1"
"ASIC005167";"KI916663";"114827";"115388";"1"
"ASIC005168";"KI916663";"117185";"118836";"-1"
"ASIC005169";"KI916663";"119153";"120514";"1"
"ASIC005170";"KI916663";"121131";"122736";"1"
"ASIC009555";"KI916316";"394676";"395032";"-1"
"ASIC009657";"KI916316";"388387";"381139";"-1"
"ASIC009668";"KI916316";"360957";"375654";"1"
"ASIC009679";"KI916316";"359910";"360529";"-1"
"ASIC009701";"KI917110";"43360";"46129";"1"
"ASIC009712";"KI916316";"334582";"334947";"-1"
"ASIC009723";"KI916316";"330539";"333459";"-1"
"ASIC009445";"KI916316";"326987";"329171";"1"
"ASIC009456";"KI916316";"324850";"325851";"1"
"ASIC009467";"KI916316";"315909";"318148";"-1"
"ASIC009489";"KI917366";"5484";"5767";"1"
"ASIC009500";"KI916316";"287728";"288182";"-1"
"ASIC009533";"KI916316";"210500";"214262";"1"
"ASIC009544";"KI916316";"209269";"210086";"-1"
"ASIC009556";"KI916316";"207427";"208573";"1"
"ASIC009589";"KI917571";"12856";"1304";"-1"
"ASIC009600";"KI916316";"185437";"185826";"1"
"ASIC009611";"KI916316";"135855";"177284";"1"
"ASIC009622";"KI916316";"109787";"115910";"1"
"ASIC009633";"KI916316";"48293";"49248";"-1"
"ASIC009644";"KI916389";"450363";"450620";"1"
"ASIC009655";"KI916389";"432286";"433449";"-1"
"ASIC009658";"KI916389";"431464";"431859";"1"
"ASIC009659";"KI916389";"430523";"431519";"1"
"ASIC009660";"KI917416";"5622";"5793";"-1"
"ASIC009661";"AXCK02024507";"1";"135";"-1"
"ASIC009662";"KI916389";"398247";"398678";"1"
"ASIC009663";"KI916389";"354006";"354435";"-1"
"ASIC009664";"KI916389";"338766";"340769";"1"
"ASIC009665";"KI916389";"333858";"335177";"-1"
"ASIC009666";"KI916389";"332117";"333105";"-1"
"ASIC009667";"KI916389";"330769";"332151";"1"
"ASIC009669";"KI916389";"326683";"328733";"1"
"ASIC009670";"KI916389";"321883";"324839";"1"
"ASIC009671";"KI916389";"314509";"304965";"-1"
"ASIC009672";"KI916389";"298271";"301599";"1"
"ASIC009674";"KI916389";"271569";"271952";"1"
"ASIC009675";"KI916389";"267477";"269230";"1"
"ASIC009676";"KI916389";"262598";"266583";"1"
"ASIC009677";"KI916389";"262286";"262645";"1"
"ASIC009678";"KI916389";"255539";"255982";"1"
"ASIC009680";"KI916389";"253949";"255647";"1"
"ASIC009681";"KI916389";"241501";"243480";"-1"
"ASIC009682";"KI916389";"238437";"240605";"-1"
"ASIC009683";"AXCK02026292";"896";"1287";"-1"
"ASIC009684";"KI916389";"191471";"191860";"-1"
"ASIC009685";"KI916389";"190893";"191461";"-1"
"ASIC009686";"AXCK02028693";"885";"1363";"-1"
"ASIC009688";"KI916389";"51612";"51879";"-1"
"ASIC009689";"KI918932";"1080";"1091";"-1"
"ASIC009691";"KI916653";"118131";"119087";"-1"
"ASIC009692";"KI916278";"830269";"830608";"1"
"ASIC009693";"KI916278";"776009";"780292";"1"
"ASIC009694";"KI916653";"24282";"24581";"-1"
"ASIC009696";"AXCK02023667";"191";"654";"-1"
"ASIC009697";"AXCK02023667";"2196";"2648";"-1"
"ASIC025190";"KI916278";"732911";"733124";"1"
"ASIC025385";"KI916278";"732901";"733114";"-1"
"ASIC009698";"KI916278";"728684";"731567";"1"
"ASIC009699";"KI916278";"718724";"719630";"-1"
"ASIC009700";"KI916278";"715617";"715616";"-1"
"ASIC009702";"KI916278";"707072";"709917";"1"
"ASIC009703";"KI916844";"39200";"40712";"1"
"ASIC009704";"KI916844";"41452";"44077";"1"
"ASIC009705";"KI916278";"690308";"689666";"-1"
"ASIC009706";"KI916278";"681856";"685438";"1"
"ASIC009709";"KI916278";"647433";"648701";"1"
"ASIC009710";"KI916223";"406934";"407256";"1"
"ASIC009711";"KI916223";"399090";"407000";"1"
"ASIC009713";"KI916223";"397977";"398833";"1"
"ASIC009714";"KI916223";"386094";"394541";"-1"
"ASIC009715";"KI916223";"373860";"381144";"1"
"ASIC009716";"KI916223";"367182";"368687";"1"
"ASIC009717";"KI916223";"360406";"360906";"-1"
"ASIC009718";"KI916223";"359777";"360246";"-1"
"ASIC009719";"KI916223";"353085";"353862";"-1"
"ASIC009720";"KI916223";"339125";"340153";"1"
"ASIC009721";"KI916223";"334341";"338624";"1"
"ASIC009722";"KI916223";"319930";"320448";"1"
"ASIC009724";"KI916223";"319603";"319981";"1"
"ASIC009725";"KI916223";"318476";"319550";"1"
"ASIC009726";"KI916223";"309105";"310605";"1"
"ASIC009727";"KI916223";"305999";"306361";"1"
"ASIC009728";"KI916223";"299333";"293173";"-1"
"ASIC009729";"KI916223";"286614";"289763";"1"
"ASIC009730";"KI916223";"280036";"280552";"1"
"ASIC009731";"KI916223";"268390";"269731";"-1"
"ASIC009732";"KI916223";"245199";"264441";"1"
"ASIC009446";"KI916223";"219246";"219695";"1"
"ASIC009447";"KI916223";"215430";"215867";"-1"
"ASIC009448";"KI916223";"211898";"212450";"-1"
"ASIC009449";"KI916223";"191793";"197543";"1"
"ASIC009450";"KI916223";"188650";"191736";"1"
"ASIC009451";"KI916223";"186442";"188669";"1"
"ASIC009452";"KI916223";"182284";"184276";"1"
"ASIC009453";"KI916223";"178622";"180823";"-1"
"ASIC009454";"KI916223";"174513";"177139";"1"
"ASIC009455";"KI916223";"171335";"171747";"-1"
"ASIC009457";"KI916223";"167082";"168647";"1"
"ASIC009458";"KI916223";"163916";"164477";"-1"
"ASIC009459";"KI916223";"138785";"141177";"1"
"ASIC009460";"KI916223";"133767";"134115";"-1"
"ASIC009461";"KI916223";"120922";"120921";"-1"
"ASIC009462";"KI916223";"100516";"100858";"-1"
"ASIC009463";"AXCK02022390";"6061";"6452";"1"
"ASIC009464";"KI916223";"84573";"86749";"-1"
"ASIC009465";"KI916223";"77534";"78180";"-1"
"ASIC009466";"KI916223";"71224";"74205";"1"
"ASIC009468";"KI916223";"64613";"69150";"1"
"ASIC009469";"KI916223";"62903";"63808";"1"
"ASIC009470";"KI916223";"57470";"60946";"1"
"ASIC009471";"KI916223";"52696";"54338";"-1"
"ASIC009472";"KI916223";"47347";"49058";"-1"
"ASIC009473";"KI916223";"44886";"46359";"-1"
"ASIC009474";"KI916223";"43022";"43943";"1"
"ASIC009475";"KI916223";"30876";"40808";"-1"
"ASIC009476";"KI916223";"11432";"18987";"-1"
"ASIC009477";"KI916223";"6325";"6304";"-1"
"ASIC009479";"AXCK02023462";"2942";"3528";"1"
"ASIC009481";"KI916243";"1061075";"1061758";"1"
"ASIC009482";"KI916243";"1037031";"1029945";"-1"
"ASIC009483";"KI916243";"1020270";"1020656";"1"
"ASIC009484";"KI916243";"1015975";"1016356";"1"
"ASIC009485";"KI916243";"989436";"989899";"1"
"ASIC009486";"KI916243";"988092";"988388";"1"
"ASIC009487";"KI916243";"985106";"985692";"1"
"ASIC009488";"KI916243";"983818";"984296";"1"
"ASIC009490";"KI916243";"970255";"970539";"1"
"ASIC009492";"KI916243";"937886";"938250";"-1"
"ASIC009493";"KI916243";"936821";"937174";"-1"
"ASIC009494";"KI916243";"935659";"936478";"-1"
"ASIC009495";"KI916243";"933520";"933999";"-1"
"ASIC009496";"KI916243";"932545";"933351";"-1"
"ASIC009497";"KI916243";"931375";"932293";"-1"
"ASIC009498";"KI916243";"930908";"931243";"-1"
"ASIC009499";"KI916243";"927915";"928378";"-1"
"ASIC009501";"KI916243";"925980";"926839";"1"
"ASIC009502";"KI916243";"924614";"924992";"1"
"ASIC009503";"KI916243";"921184";"921852";"1"
"ASIC009504";"KI916243";"903240";"903875";"-1"
"ASIC009505";"KI916243";"902199";"902755";"-1"
"ASIC009506";"KI916243";"896859";"896748";"-1"
"ASIC009507";"KI916243";"895586";"896320";"1"
"ASIC009508";"KI916243";"892862";"893726";"1"
"ASIC009510";"AXCK02024051";"704";"1430";"1"
"ASIC009512";"KI916243";"877691";"878097";"1"
"ASIC009513";"KI916243";"866506";"862221";"-1"
"ASIC009515";"AXCK02023756";"2945";"3214";"-1"
"ASIC009517";"KI916243";"824925";"826197";"-1"
"ASIC009518";"KI916243";"821922";"823153";"-1"
"ASIC009519";"KI916243";"819351";"821720";"1"
"ASIC009520";"KI916243";"804823";"807069";"1"
"ASIC009523";"KI916243";"798122";"798419";"1"
"ASIC009524";"KI916243";"795524";"796040";"-1"
"ASIC009525";"KI916243";"789406";"790486";"-1"
"ASIC009526";"KI916243";"780379";"788375";"1"
"ASIC009527";"KI916243";"754009";"754498";"1"
"ASIC009528";"KI916243";"746955";"750461";"-1"
"ASIC009529";"KI916243";"742995";"743408";"1"
"ASIC009530";"KI916243";"719636";"722479";"-1"
"ASIC009531";"KI916243";"716375";"718856";"1"
"ASIC009532";"KI916243";"691513";"692232";"1"
"ASIC009534";"KI916243";"689185";"691471";"1"
"ASIC009535";"AXCK02020297";"1467";"2650";"1"
"ASIC009536";"AXCK02020297";"7360";"10510";"1"
"ASIC009537";"KI916243";"637260";"637131";"-1"
"ASIC009539";"KI916243";"618081";"618672";"-1"
"ASIC009540";"KI916243";"606079";"605996";"-1"
"ASIC009541";"KI916243";"598418";"600597";"1"
"ASIC009542";"KI916243";"595520";"596935";"1"
"ASIC009543";"KI916243";"591073";"591868";"1"
"ASIC009545";"KI916243";"587810";"590068";"-1"
"ASIC009546";"KI916243";"584008";"584792";"1"
"ASIC009547";"KI916243";"570822";"576433";"-1"
"ASIC009548";"KI916243";"564832";"565132";"-1"
"ASIC009549";"KI916243";"551285";"547836";"-1"
"ASIC009550";"KI916243";"535423";"537404";"1"
"ASIC009551";"KI916243";"532776";"534088";"-1"
"ASIC009552";"KI916243";"529021";"529461";"1"
"ASIC009553";"KI916243";"527311";"527791";"1"
"ASIC009554";"KI916243";"523477";"524325";"1"
"ASIC009557";"KI916243";"517738";"518052";"-1"
"ASIC009559";"KI916243";"494402";"502789";"1"
"ASIC009560";"KI916243";"490910";"491827";"-1"
"ASIC009561";"KI916243";"480794";"488557";"-1"
"ASIC009562";"KI916243";"474092";"476582";"-1"
"ASIC009563";"KI916243";"457950";"459651";"-1"
"ASIC009564";"KI916243";"454620";"455429";"1"
"ASIC009565";"KI916243";"450486";"450748";"-1"
"ASIC009568";"KI916243";"420592";"431240";"1"
"ASIC009569";"KI916243";"416409";"420619";"1"
"ASIC009570";"KI916243";"413475";"413946";"-1"
"ASIC009571";"KI916243";"408581";"408415";"-1"
"ASIC009572";"KI916243";"360315";"361778";"1"
"ASIC009573";"AXCK02023636";"1630";"2227";"-1"
"ASIC009574";"KI916243";"308655";"309868";"1"
"ASIC009575";"KI916243";"299389";"299702";"1"
"ASIC009576";"KI916243";"279979";"284170";"1"
"ASIC009577";"KI916243";"277555";"278355";"1"
"ASIC009579";"KI916243";"271152";"272839";"-1"
"ASIC009580";"KI916243";"265330";"270153";"-1"
"ASIC009581";"KI916243";"246027";"258250";"-1"
"ASIC009582";"KI916243";"225835";"233299";"1"
"ASIC009583";"KI916243";"186398";"190927";"1"
"ASIC009584";"KI916243";"183460";"183985";"-1"
"ASIC009585";"KI916243";"176285";"182517";"1"
"ASIC009587";"KI916243";"163204";"164438";"1"
"ASIC009588";"KI916243";"158108";"158548";"1"
"ASIC009590";"KI916243";"135912";"136358";"1"
"ASIC009591";"KI916243";"129400";"132396";"1"
"ASIC009592";"KI916243";"127846";"128998";"-1"
"ASIC009593";"KI916243";"122702";"125877";"-1"
"ASIC009594";"AXCK02024622";"334";"678";"-1"
"ASIC009595";"KI916243";"98738";"99793";"-1"
"ASIC009597";"AXCK02024108";"953";"1943";"1"
"ASIC009598";"KI916243";"44775";"45956";"1"
"ASIC009599";"KI916243";"43012";"43878";"1"
"ASIC009601";"KI916243";"42598";"43064";"1"
"ASIC009602";"KI916243";"39937";"41347";"1"
"ASIC009603";"KI916243";"36138";"37914";"-1"
"ASIC009604";"KI916243";"27918";"28675";"-1"
"ASIC009605";"KI916243";"22394";"23139";"-1"
"ASIC009606";"KI916243";"17434";"17940";"-1"
"ASIC009607";"KI916243";"11554";"12134";"1"
"ASIC009608";"KI916243";"9220";"10982";"-1"
"ASIC009609";"KI916243";"8140";"8856";"1"
"ASIC009610";"KI916243";"3377";"7501";"-1"
"ASIC009612";"AXCK02027525";"970";"1392";"1"
"ASIC009613";"AXCK02027525";"565";"948";"1"
"ASIC009617";"AXCK02023878";"1911";"2399";"1"
"ASIC009618";"KI916932";"64924";"65544";"1"
"ASIC009619";"KI916932";"17310";"17954";"1"
"ASIC009620";"KI916932";"4257";"4652";"-1"
"ASIC009621";"AXCK02026731";"1248";"1822";"1"
"ASIC009623";"AXCK02018931";"4314";"4725";"-1"
"ASIC009624";"KI917091";"44041";"44486";"-1"
"ASIC009625";"AXCK02023105";"3392";"4221";"-1"
"ASIC009626";"AXCK02021167";"705";"1157";"-1"
"ASIC009627";"AXCK02021167";"1810";"5385";"1"
"ASIC009628";"AXCK02023622";"1004";"1363";"-1"
"ASIC009629";"AXCK02024398";"1936";"2322";"1"
"ASIC009630";"AXCK02024188";"1707";"2149";"-1"
"ASIC009631";"AXCK02024188";"1379";"1703";"1"
"ASIC009632";"AXCK02018089";"742";"1304";"-1"
"ASIC009634";"AXCK02018089";"1695";"2214";"-1"
"ASIC009635";"AXCK02018089";"6807";"11259";"1"
"ASIC009636";"AXCK02018089";"14758";"15939";"1"
"ASIC009637";"AXCK02018089";"21194";"23866";"1"
"ASIC009638";"AXCK02018089";"25067";"26287";"1"
"ASIC009639";"AXCK02018089";"26223";"27290";"1"
"ASIC009640";"AXCK02024238";"2681";"2977";"-1"
"ASIC009641";"AXCK02024238";"371";"2767";"-1"
"ASIC009642";"AXCK02018744";"3420";"3342";"-1"
"ASIC009643";"AXCK02018744";"8169";"9995";"-1"
"ASIC009645";"AXCK02018744";"16432";"16873";"-1"
"ASIC009647";"KI916394";"457733";"459942";"-1"
"ASIC009648";"KI916394";"450740";"457404";"1"
"ASIC009649";"KI916394";"438433";"441974";"-1"
"ASIC009650";"KI916394";"375906";"376950";"-1"
"ASIC009651";"KI916394";"366780";"367592";"-1"
"ASIC009652";"KI916394";"362231";"362682";"1"
"ASIC009653";"KI916394";"359623";"360972";"-1"
"ASIC009654";"KI916394";"350890";"352811";"1"
"ASIC004412";"KI916316";"420753";"421512";"-1"
"ASIC004423";"KI916316";"426124";"426527";"1"
"ASIC004434";"KI916316";"450512";"450826";"-1"
"ASIC004445";"KI916316";"458068";"459799";"1"
"ASIC004467";"KI916316";"478508";"478904";"-1"
"ASIC004478";"KI916316";"478871";"481101";"1"
"ASIC004489";"KI916316";"500572";"501263";"-1"
"ASIC004413";"KI916316";"557844";"558377";"-1"
"ASIC004416";"KI917926";"9562";"9671";"1"
"ASIC004417";"KI916941";"918";"1038";"1"
"ASIC004418";"KI916316";"632112";"632573";"1"
"ASIC004419";"KI916316";"685786";"686073";"-1"
"ASIC004420";"AXCK02025155";"806";"1147";"-1"
"ASIC004424";"KI916629";"185826";"186245";"1"
"ASIC004426";"KI916797";"52257";"52632";"1"
"ASIC004429";"KI916797";"5360";"5928";"-1"
"ASIC004430";"KI916797";"1215";"2010";"1"
"ASIC004431";"KI916629";"56391";"56679";"-1"
"ASIC004432";"KI916629";"6399";"6749";"1"
"ASIC004433";"AXCK02022739";"3679";"4546";"1"
"ASIC004435";"AXCK02023585";"1227";"1726";"-1"
"ASIC004436";"KI916337";"144923";"145660";"1"
"ASIC004437";"KI916337";"147903";"152042";"1"
"ASIC004438";"KI916337";"155253";"159477";"1"
"ASIC004439";"KI916337";"186691";"187204";"1"
"ASIC004440";"AXCK02025211";"372";"1060";"1"
"ASIC004441";"KI916337";"210472";"210356";"-1"
"ASIC004442";"KI916337";"218695";"219128";"1"
"ASIC004443";"AXCK02023716";"1783";"2324";"-1"
"ASIC004446";"KI916337";"245460";"245898";"1"
"ASIC004447";"KI916337";"257537";"258178";"1"
"ASIC004448";"KI916337";"279267";"279770";"1"
"ASIC004449";"KI916337";"291272";"293397";"-1"
"ASIC004450";"KI916337";"302638";"302919";"1"
"ASIC004451";"KI916337";"303153";"303631";"-1"
"ASIC004452";"KI916337";"304651";"305071";"-1"
"ASIC004453";"KI916337";"309675";"313280";"-1"
"ASIC004454";"KI916337";"314952";"316173";"-1"
"ASIC004455";"KI916337";"321396";"322795";"1"
"ASIC004457";"KI916337";"324178";"332356";"1"
"ASIC004458";"KI916337";"363803";"387853";"1"
"ASIC004459";"KI916337";"390388";"391624";"-1"
"ASIC004460";"KI916337";"393203";"394336";"-1"
"ASIC004461";"KI916337";"394818";"396355";"1"
"ASIC004462";"KI916337";"397482";"402963";"-1"
"ASIC004463";"KI916337";"404139";"407764";"1"
"ASIC004464";"KI916337";"407787";"414635";"1"
"ASIC004465";"KI916337";"418641";"420209";"-1"
"ASIC004466";"KI916337";"426664";"427084";"-1"
"ASIC004470";"KI916337";"439932";"440488";"1"
"ASIC004472";"KI916337";"472236";"472931";"-1"
"ASIC004473";"KI916337";"474542";"476430";"-1"
"ASIC004474";"KI916337";"477785";"480498";"1"
"ASIC004475";"KI916337";"481162";"482466";"-1"
"ASIC004476";"KI916728";"45856";"51764";"1"
"ASIC004477";"KI916728";"55194";"55821";"-1"
"ASIC004479";"KI916728";"56757";"58887";"-1"
"ASIC004480";"KI916337";"514193";"514546";"-1"
"ASIC004482";"KI916728";"92698";"94177";"-1"
"ASIC004483";"AXCK02021806";"4954";"7052";"-1"
"ASIC004485";"KI916908";"704";"1431";"1"
"ASIC004486";"KI916337";"555013";"555998";"1"
"ASIC004487";"KI916337";"563204";"563203";"-1"
"ASIC004490";"AXCK02027531";"1";"72";"1"
"ASIC004493";"KI916728";"132884";"132995";"1"
"ASIC004494";"KI916728";"131632";"132070";"1"
"ASIC004495";"KI916728";"139791";"140348";"1"
"ASIC004496";"AXCK02028706";"658";"1138";"-1"
"ASIC004497";"KI916337";"563204";"563203";"-1"
"ASIC004498";"KI916337";"563397";"563485";"-1"
"ASIC004499";"KI916337";"569458";"569805";"1"
"ASIC020387";"KI916908";"704";"1431";"1"
"ASIC020436";"KI916908";"21663";"21249";"-1"
"ASIC020458";"KI916437";"38353";"40226";"1"
"ASIC020469";"KI916437";"41760";"42244";"1"
"ASIC020480";"KI916437";"46103";"46768";"-1"
"ASIC020491";"KI916437";"61637";"61580";"-1"
"ASIC020277";"AXCK02028126";"480";"905";"-1"
"ASIC020288";"AXCK02029586";"36";"1218";"1"
"ASIC020310";"KI916437";"83894";"84286";"1"
"ASIC020321";"KI916437";"92203";"92640";"1"
"ASIC020332";"KI916437";"101542";"103069";"1"
"ASIC020343";"KI916437";"114321";"115393";"1"
"ASIC020354";"KI916437";"116699";"117023";"1"
"ASIC020365";"KI916437";"118426";"119335";"1"
"ASIC020376";"KI916437";"128122";"128612";"1"
"ASIC020388";"KI916437";"128972";"146246";"-1"
"ASIC020399";"KI916437";"156048";"154140";"-1"
"ASIC020410";"KI916437";"164898";"165200";"-1"
"ASIC020418";"KI916437";"195573";"197452";"-1"
"ASIC020419";"KI916437";"199491";"203327";"-1"
"ASIC020420";"KI916437";"203782";"206286";"1"
"ASIC020422";"KI916437";"226628";"227477";"-1"
"ASIC020423";"KI916437";"227676";"228067";"1"
"ASIC020424";"KI916437";"228101";"230221";"1"
"ASIC020426";"KI916437";"237329";"237709";"-1"
"ASIC020427";"KI916437";"248263";"248670";"-1"
"ASIC020428";"KI916437";"261577";"262251";"1"
"ASIC020429";"KI916437";"265515";"265919";"1"
"ASIC020430";"KI916437";"267716";"267991";"1"
"ASIC020432";"KI916437";"279584";"280980";"-1"
"ASIC020433";"KI916437";"281549";"282566";"1"
