"";"AsinS2_geneID";"AsinC2_geneID"
"ASIC005257";"ASIS023649";"ASIC005257"
"ASIC005106";"ASIS006443";"ASIC005106"
"ASIC005112";"ASIS008398";"ASIC005112"
"ASIC005113";"ASIS014798";"ASIC005113"
"ASIC005114";"ASIS014798";"ASIC005114"
"ASIC005121";"ASIS021024";"ASIC005121"
"ASIC005123";"ASIS019846";"ASIC005123"
"ASIC005125";"ASIS000472";"ASIC005125"
"ASIC005126";"ASIS001212";"ASIC005126"
"ASIC005131";"ASIS001466";"ASIC005131"
"ASIC005132";"ASIS001466";"ASIC005132"
"ASIC005134";"ASIS002491";"ASIC005134"
"ASIC005135";"ASIS002491";"ASIC005135"
"ASIC005136";"ASIS007000";"ASIC005136"
"ASIC0051371";"ASIS002143";"ASIC005137"
"ASIC0051372";"ASIS024141";"ASIC005137"
"ASIC0250201";"ASIS002143";"ASIC025020"
"ASIC0250202";"ASIS024141";"ASIC025020"
"ASIC005139";"ASIS021909";"ASIC005139"
"ASIC0051401";"ASIS007758";"ASIC005140"
"ASIC0051402";"ASIS021909";"ASIC005140"
"ASIC005141";"ASIS015766";"ASIC005141"
"ASIC005143";"ASIS005556";"ASIC005143"
"ASIC005144";"ASIS022612";"ASIC005144"
"ASIC005147";"ASIS016887";"ASIC005147"
"ASIC005148";"ASIS016887";"ASIC005148"
"ASIC005153";"ASIS015246";"ASIC005153"
"ASIC005154";"ASIS015246";"ASIC005154"
"ASIC005155";"ASIS008388";"ASIC005155"
"ASIC0051561";"ASIS005361";"ASIC005156"
"ASIC0051562";"ASIS013530";"ASIC005156"
"ASIC0051563";"ASIS019211";"ASIC005156"
"ASIC0051571";"ASIS005361";"ASIC005157"
"ASIC0051572";"ASIS013530";"ASIC005157"
"ASIC005161";"ASIS013875";"ASIC005161"
"ASIC005162";"ASIS013875";"ASIC005162"
"ASIC0051631";"ASIS015502";"ASIC005163"
"ASIC0051632";"ASIS015921";"ASIC005163"
"ASIC0051633";"ASIS020015";"ASIC005163"
"ASIC0051641";"ASIS015502";"ASIC005164"
"ASIC0051642";"ASIS020015";"ASIC005164"
"ASIC005165";"ASIS023382";"ASIC005165"
"ASIC005166";"ASIS012105";"ASIC005166"
"ASIC005167";"ASIS013995";"ASIC005167"
"ASIC0051681";"ASIS009675";"ASIC005168"
"ASIC0051682";"ASIS013995";"ASIC005168"
"ASIC005169";"ASIS013995";"ASIC005169"
"ASIC005170";"ASIS016033";"ASIC005170"
"ASIC009668";"ASIS016330";"ASIC009668"
"ASIC009679";"ASIS016330";"ASIC009679"
"ASIC009701";"ASIS013319";"ASIC009701"
"ASIC009723";"ASIS009243";"ASIC009723"
"ASIC009445";"ASIS001395";"ASIC009445"
"ASIC009456";"ASIS001395";"ASIC009456"
"ASIC009467";"ASIS005133";"ASIC009467"
"ASIC009533";"ASIS018098";"ASIC009533"
"ASIC009544";"ASIS019500";"ASIC009544"
"ASIC009556";"ASIS009044";"ASIC009556"
"ASIC009611";"ASIS022427";"ASIC009611"
"ASIC009655";"ASIS022271";"ASIC009655"
"ASIC009664";"ASIS001688";"ASIC009664"
"ASIC009665";"ASIS001934";"ASIC009665"
"ASIC009666";"ASIS017941";"ASIC009666"
"ASIC009667";"ASIS017941";"ASIC009667"
"ASIC009669";"ASIS016956";"ASIC009669"
"ASIC009670";"ASIS017141";"ASIC009670"
"ASIC009672";"ASIS003367";"ASIC009672"
"ASIC009678";"ASIS002851";"ASIC009678"
"ASIC009680";"ASIS002851";"ASIC009680"
"ASIC009681";"ASIS008817";"ASIC009681"
"ASIC009682";"ASIS008817";"ASIC009682"
"ASIC009691";"ASIS004852";"ASIC009691"
"ASIC009693";"ASIS008271";"ASIC009693"
"ASIC0251901";"ASIS023900";"ASIC025190"
"ASIC0251902";"ASIS023978";"ASIC025190"
"ASIC0253851";"ASIS023900";"ASIC025385"
"ASIC0253852";"ASIS023978";"ASIC025385"
"ASIC009698";"ASIS006135";"ASIC009698"
"ASIC009699";"ASIS022779";"ASIC009699"
"ASIC009702";"ASIS002701";"ASIC009702"
"ASIC009703";"ASIS015891";"ASIC009703"
"ASIC009704";"ASIS002675";"ASIC009704"
"ASIC0097061";"ASIS000764";"ASIC009706"
"ASIC0097062";"ASIS018861";"ASIC009706"
"ASIC009709";"ASIS022696";"ASIC009709"
"ASIC0097101";"ASIS015119";"ASIC009710"
"ASIC0097102";"ASIS023786";"ASIC009710"
"ASIC0097111";"ASIS015119";"ASIC009711"
"ASIC0097112";"ASIS023786";"ASIC009711"
"ASIC009713";"ASIS023786";"ASIC009713"
"ASIC009714";"ASIS011761";"ASIC009714"
"ASIC009715";"ASIS021493";"ASIC009715"
"ASIC009716";"ASIS012860";"ASIC009716"
"ASIC009717";"ASIS003588";"ASIC009717"
"ASIC009718";"ASIS003588";"ASIC009718"
"ASIC009721";"ASIS019487";"ASIC009721"
"ASIC009722";"ASIS019487";"ASIC009722"
"ASIC009724";"ASIS019487";"ASIC009724"
"ASIC009725";"ASIS019487";"ASIC009725"
"ASIC009726";"ASIS019487";"ASIC009726"
"ASIC009727";"ASIS019487";"ASIC009727"
"ASIC009729";"ASIS017537";"ASIC009729"
"ASIC009730";"ASIS017537";"ASIC009730"
"ASIC0097321";"ASIS004644";"ASIC009732"
"ASIC0097322";"ASIS010511";"ASIC009732"
"ASIC0097323";"ASIS019956";"ASIC009732"
"ASIC009449";"ASIS016491";"ASIC009449"
"ASIC009450";"ASIS016491";"ASIC009450"
"ASIC009451";"ASIS016491";"ASIC009451"
"ASIC009452";"ASIS015353";"ASIC009452"
"ASIC009453";"ASIS007448";"ASIC009453"
"ASIC009454";"ASIS021542";"ASIC009454"
"ASIC009455";"ASIS021542";"ASIC009455"
"ASIC0094571";"ASIS005351";"ASIC009457"
"ASIC0094572";"ASIS021542";"ASIC009457"
"ASIC009459";"ASIS010284";"ASIC009459"
"ASIC009464";"ASIS014459";"ASIC009464"
"ASIC009466";"ASIS004769";"ASIC009466"
"ASIC009468";"ASIS003814";"ASIC009468"
"ASIC009469";"ASIS020373";"ASIC009469"
"ASIC009470";"ASIS011084";"ASIC009470"
"ASIC009471";"ASIS004403";"ASIC009471"
"ASIC009472";"ASIS004107";"ASIC009472"
"ASIC009473";"ASIS023398";"ASIC009473"
"ASIC009474";"ASIS018654";"ASIC009474"
"ASIC009475";"ASIS023780";"ASIC009475"
"ASIC009476";"ASIS007377";"ASIC009476"
"ASIC009494";"ASIS020265";"ASIC009494"
"ASIC009495";"ASIS017777";"ASIC009495"
"ASIC009496";"ASIS017777";"ASIC009496"
"ASIC009497";"ASIS000218";"ASIC009497"
"ASIC009499";"ASIS009848";"ASIC009499"
"ASIC009501";"ASIS000511";"ASIC009501"
"ASIC009502";"ASIS000511";"ASIC009502"
"ASIC009503";"ASIS003253";"ASIC009503"
"ASIC009505";"ASIS009499";"ASIC009505"
"ASIC009507";"ASIS015405";"ASIC009507"
"ASIC009508";"ASIS014846";"ASIC009508"
"ASIC009517";"ASIS012124";"ASIC009517"
"ASIC0095181";"ASIS019415";"ASIC009518"
"ASIC0095182";"ASIS023037";"ASIC009518"
"ASIC0095191";"ASIS019415";"ASIC009519"
"ASIC0095192";"ASIS023037";"ASIC009519"
"ASIC009520";"ASIS010584";"ASIC009520"
"ASIC009524";"ASIS006681";"ASIC009524"
"ASIC009525";"ASIS013032";"ASIC009525"
"ASIC009526";"ASIS020465";"ASIC009526"
"ASIC0095281";"ASIS003002";"ASIC009528"
"ASIC0095282";"ASIS023134";"ASIC009528"
"ASIC009530";"ASIS009467";"ASIC009530"
"ASIC009531";"ASIS004364";"ASIC009531"
"ASIC009532";"ASIS003518";"ASIC009532"
"ASIC009534";"ASIS003518";"ASIC009534"
"ASIC009535";"ASIS008334";"ASIC009535"
"ASIC009536";"ASIS008334";"ASIC009536"
"ASIC009541";"ASIS016096";"ASIC009541"
"ASIC009542";"ASIS018555";"ASIC009542"
"ASIC009543";"ASIS000795";"ASIC009543"
"ASIC009545";"ASIS014385";"ASIC009545"
"ASIC0095471";"ASIS020699";"ASIC009547"
"ASIC0095472";"ASIS022680";"ASIC009547"
"ASIC009550";"ASIS022759";"ASIC009550"
"ASIC0095511";"ASIS003281";"ASIC009551"
"ASIC0095512";"ASIS013352";"ASIC009551"
"ASIC009557";"ASIS004851";"ASIC009557"
"ASIC0095591";"ASIS012390";"ASIC009559"
"ASIC0095592";"ASIS021155";"ASIC009559"
"ASIC009561";"ASIS010303";"ASIC009561"
"ASIC009562";"ASIS018582";"ASIC009562"
"ASIC0095631";"ASIS007204";"ASIC009563"
"ASIC0095632";"ASIS015558";"ASIC009563"
"ASIC0095681";"ASIS008489";"ASIC009568"
"ASIC0095682";"ASIS013119";"ASIC009568"
"ASIC009569";"ASIS008489";"ASIC009569"
"ASIC009572";"ASIS023214";"ASIC009572"
"ASIC009573";"ASIS004766";"ASIC009573"
"ASIC009574";"ASIS020222";"ASIC009574"
"ASIC009576";"ASIS002170";"ASIC009576"
"ASIC009577";"ASIS008299";"ASIC009577"
"ASIC009579";"ASIS020893";"ASIC009579"
"ASIC009580";"ASIS017006";"ASIC009580"
"ASIC009581";"ASIS009884";"ASIC009581"
"ASIC009582";"ASIS020991";"ASIC009582"
"ASIC0095831";"ASIS011138";"ASIC009583"
"ASIC0095832";"ASIS021332";"ASIC009583"
"ASIC009584";"ASIS011138";"ASIC009584"
"ASIC0095851";"ASIS011138";"ASIC009585"
"ASIC0095852";"ASIS018300";"ASIC009585"
"ASIC009587";"ASIS014044";"ASIC009587"
"ASIC009591";"ASIS008701";"ASIC009591"
"ASIC009592";"ASIS002653";"ASIC009592"
"ASIC009593";"ASIS009622";"ASIC009593"
"ASIC009597";"ASIS001430";"ASIC009597"
"ASIC009598";"ASIS009755";"ASIC009598"
"ASIC009599";"ASIS008168";"ASIC009599"
"ASIC009601";"ASIS008168";"ASIC009601"
"ASIC009602";"ASIS000768";"ASIC009602"
"ASIC009603";"ASIS003240";"ASIC009603"
"ASIC009605";"ASIS007999";"ASIC009605"
"ASIC009607";"ASIS015444";"ASIC009607"
"ASIC009608";"ASIS015444";"ASIC009608"
"ASIC009609";"ASIS015444";"ASIC009609"
"ASIC009610";"ASIS015444";"ASIC009610"
"ASIC009612";"ASIS004964";"ASIC009612"
"ASIC009613";"ASIS004964";"ASIC009613"
"ASIC009627";"ASIS001260";"ASIC009627"
"ASIC009632";"ASIS006630";"ASIC009632"
"ASIC009635";"ASIS023610";"ASIC009635"
"ASIC009636";"ASIS023610";"ASIC009636"
"ASIC009637";"ASIS006189";"ASIC009637"
"ASIC009638";"ASIS016268";"ASIC009638"
"ASIC009639";"ASIS016268";"ASIC009639"
"ASIC009640";"ASIS021953";"ASIC009640"
"ASIC009641";"ASIS021953";"ASIC009641"
"ASIC009643";"ASIS013920";"ASIC009643"
"ASIC009647";"ASIS002540";"ASIC009647"
"ASIC009648";"ASIS010518";"ASIC009648"
"ASIC009649";"ASIS007159";"ASIC009649"
"ASIC009653";"ASIS001227";"ASIC009653"
"ASIC009654";"ASIS008691";"ASIC009654"
"ASIC004412";"ASIS022976";"ASIC004412"
"ASIC004445";"ASIS006287";"ASIC004445"
"ASIC004437";"ASIS014099";"ASIC004437"
"ASIC004438";"ASIS014099";"ASIC004438"
"ASIC004443";"ASIS014202";"ASIC004443"
"ASIC004449";"ASIS015691";"ASIC004449"
"ASIC004453";"ASIS015283";"ASIC004453"
"ASIC0044541";"ASIS009629";"ASIC004454"
"ASIC0044542";"ASIS015276";"ASIC004454"
"ASIC004455";"ASIS015225";"ASIC004455"
"ASIC0044571";"ASIS012964";"ASIC004457"
"ASIC0044572";"ASIS015155";"ASIC004457"
"ASIC0044573";"ASIS023263";"ASIC004457"
"ASIC0044581";"ASIS000290";"ASIC004458"
"ASIC0044582";"ASIS017272";"ASIC004458"
"ASIC004459";"ASIS018308";"ASIC004459"
"ASIC004460";"ASIS000314";"ASIC004460"
"ASIC004461";"ASIS014730";"ASIC004461"
"ASIC004462";"ASIS000989";"ASIC004462"
"ASIC0044631";"ASIS002418";"ASIC004463"
"ASIC0044632";"ASIS021162";"ASIC004463"
"ASIC0044641";"ASIS002418";"ASIC004464"
"ASIC0044642";"ASIS005203";"ASIC004464"
"ASIC0044643";"ASIS021162";"ASIC004464"
"ASIC004465";"ASIS015476";"ASIC004465"
"ASIC004466";"ASIS015476";"ASIC004466"
"ASIC004470";"ASIS016971";"ASIC004470"
"ASIC004472";"ASIS007548";"ASIC004472"
"ASIC004473";"ASIS009449";"ASIC004473"
"ASIC004474";"ASIS000613";"ASIC004474"
"ASIC004475";"ASIS014565";"ASIC004475"
"ASIC004476";"ASIS005273";"ASIC004476"
"ASIC004477";"ASIS005465";"ASIC004477"
"ASIC004479";"ASIS005465";"ASIC004479"
"ASIC004482";"ASIS011372";"ASIC004482"
"ASIC004483";"ASIS009676";"ASIC004483"
"ASIC004485";"ASIS017505";"ASIC004485"
"ASIC020387";"ASIS017505";"ASIC020387"
"ASIC0204581";"ASIS001046";"ASIC020458"
"ASIC0204582";"ASIS014807";"ASIC020458"
"ASIC020288";"ASIS023097";"ASIC020288"
"ASIC020332";"ASIS020487";"ASIC020332"
"ASIC020343";"ASIS002127";"ASIC020343"
"ASIC020365";"ASIS009674";"ASIC020365"
"ASIC020376";"ASIS014212";"ASIC020376"
"ASIC0203881";"ASIS004618";"ASIC020388"
"ASIC0203882";"ASIS014096";"ASIC020388"
"ASIC020410";"ASIS019766";"ASIC020410"
"ASIC020418";"ASIS020044";"ASIC020418"
"ASIC020419";"ASIS011583";"ASIC020419"
"ASIC020420";"ASIS001089";"ASIC020420"
"ASIC020423";"ASIS013175";"ASIC020423"
"ASIC020424";"ASIS013175";"ASIC020424"
"ASIC020428";"ASIS012920";"ASIC020428"
"ASIC020429";"ASIS012920";"ASIC020429"
"ASIC020430";"ASIS012920";"ASIC020430"
"ASIC020432";"ASIS000957";"ASIC020432"
"ASIC020433";"ASIS004052";"ASIC020433"
"ASIC0204351";"ASIS006468";"ASIC020435"
"ASIC0204352";"ASIS022301";"ASIC020435"
"ASIC020437";"ASIS022301";"ASIC020437"
"ASIC0204381";"ASIS014815";"ASIC020438"
"ASIC0204382";"ASIS022301";"ASIC020438"
"ASIC020440";"ASIS012699";"ASIC020440"
"ASIC020441";"ASIS017419";"ASIC020441"
"ASIC020442";"ASIS001997";"ASIC020442"
"ASIC020450";"ASIS019232";"ASIC020450"
"ASIC0204531";"ASIS004503";"ASIC020453"
"ASIC0204532";"ASIS007356";"ASIC020453"
"ASIC0204541";"ASIS007356";"ASIC020454"
"ASIC0204542";"ASIS013436";"ASIC020454"
"ASIC020455";"ASIS022373";"ASIC020455"
"ASIC020459";"ASIS022401";"ASIC020459"
"ASIC0204611";"ASIS009314";"ASIC020461"
"ASIC0204612";"ASIS014158";"ASIC020461"
"ASIC0204621";"ASIS003003";"ASIC020462"
"ASIC0204622";"ASIS018601";"ASIC020462"
"ASIC020463";"ASIS013311";"ASIC020463"
"ASIC020464";"ASIS018808";"ASIC020464"
"ASIC020470";"ASIS016900";"ASIC020470"
"ASIC0204721";"ASIS005063";"ASIC020472"
"ASIC0204722";"ASIS016806";"ASIC020472"
"ASIC020475";"ASIS017325";"ASIC020475"
"ASIC020476";"ASIS017325";"ASIC020476"
"ASIC020478";"ASIS013650";"ASIC020478"
"ASIC0204861";"ASIS002737";"ASIC020486"
"ASIC0204862";"ASIS007782";"ASIC020486"
"ASIC0204863";"ASIS007866";"ASIC020486"
"ASIC0204864";"ASIS011126";"ASIC020486"
"ASIC020488";"ASIS001474";"ASIC020488"
"ASIC020489";"ASIS001474";"ASIC020489"
"ASIC020492";"ASIS022773";"ASIC020492"
"ASIC020493";"ASIS017007";"ASIC020493"
"ASIC0204941";"ASIS010273";"ASIC020494"
"ASIC0204942";"ASIS017007";"ASIC020494"
"ASIC0204951";"ASIS005666";"ASIC020495"
"ASIC0204952";"ASIS012812";"ASIC020495"
"ASIC0204961";"ASIS005666";"ASIC020496"
"ASIC0204962";"ASIS006810";"ASIC020496"
"ASIC0204963";"ASIS013880";"ASIC020496"
"ASIC020498";"ASIS001891";"ASIC020498"
"ASIC020499";"ASIS001891";"ASIC020499"
"ASIC0202781";"ASIS001404";"ASIC020278"
"ASIC0202782";"ASIS019484";"ASIC020278"
"ASIC0202791";"ASIS001404";"ASIC020279"
"ASIC0202792";"ASIS019484";"ASIC020279"
"ASIC020280";"ASIS001404";"ASIC020280"
"ASIC020281";"ASIS002185";"ASIC020281"
"ASIC020282";"ASIS002185";"ASIC020282"
"ASIC020284";"ASIS020661";"ASIC020284"
"ASIC020285";"ASIS001857";"ASIC020285"
"ASIC020286";"ASIS015182";"ASIC020286"
"ASIC020287";"ASIS017499";"ASIC020287"
"ASIC020289";"ASIS017499";"ASIC020289"
"ASIC0202901";"ASIS009049";"ASIC020290"
"ASIC0202902";"ASIS023254";"ASIC020290"
"ASIC020291";"ASIS021655";"ASIC020291"
"ASIC020292";"ASIS022348";"ASIC020292"
"ASIC020293";"ASIS015770";"ASIC020293"
"ASIC020294";"ASIS004962";"ASIC020294"
"ASIC020295";"ASIS002516";"ASIC020295"
"ASIC020301";"ASIS004130";"ASIC020301"
"ASIC020302";"ASIS017832";"ASIC020302"
"ASIC0203041";"ASIS000145";"ASIC020304"
"ASIC0203042";"ASIS016607";"ASIC020304"
"ASIC0203051";"ASIS000145";"ASIC020305"
"ASIC0203052";"ASIS016607";"ASIC020305"
"ASIC020306";"ASIS019682";"ASIC020306"
"ASIC020311";"ASIS007206";"ASIC020311"
"ASIC020314";"ASIS005525";"ASIC020314"
"ASIC020315";"ASIS005525";"ASIC020315"
"ASIC020316";"ASIS017368";"ASIC020316"
"ASIC020319";"ASIS012617";"ASIC020319"
"ASIC0203201";"ASIS000135";"ASIC020320"
"ASIC0203202";"ASIS000682";"ASIC020320"
"ASIC0203221";"ASIS000682";"ASIC020322"
"ASIC0203222";"ASIS014391";"ASIC020322"
"ASIC020323";"ASIS008740";"ASIC020323"
"ASIC020324";"ASIS008740";"ASIC020324"
"ASIC020326";"ASIS012967";"ASIC020326"
"ASIC020330";"ASIS013617";"ASIC020330"
"ASIC0203331";"ASIS000313";"ASIC020333"
"ASIC0203332";"ASIS007493";"ASIC020333"
"ASIC0203333";"ASIS012075";"ASIC020333"
"ASIC0203334";"ASIS013365";"ASIC020333"
"ASIC0203335";"ASIS018635";"ASIC020333"
"ASIC020337";"ASIS022738";"ASIC020337"
"ASIC020338";"ASIS013948";"ASIC020338"
"ASIC0203411";"ASIS005102";"ASIC020341"
"ASIC0203412";"ASIS018303";"ASIC020341"
"ASIC020342";"ASIS005102";"ASIC020342"
"ASIC020347";"ASIS007911";"ASIC020347"
"ASIC020348";"ASIS001593";"ASIC020348"
"ASIC020350";"ASIS010418";"ASIC020350"
"ASIC0203511";"ASIS017689";"ASIC020351"
"ASIC0203512";"ASIS020212";"ASIC020351"
"ASIC020355";"ASIS019875";"ASIC020355"
"ASIC020357";"ASIS019875";"ASIC020357"
"ASIC020359";"ASIS022410";"ASIC020359"
"ASIC020360";"ASIS022410";"ASIC020360"
"ASIC020362";"ASIS016781";"ASIC020362"
"ASIC020363";"ASIS000061";"ASIC020363"
"ASIC020364";"ASIS012694";"ASIC020364"
"ASIC020366";"ASIS003765";"ASIC020366"
"ASIC020367";"ASIS013592";"ASIC020367"
"ASIC020368";"ASIS020028";"ASIC020368"
"ASIC020369";"ASIS021681";"ASIC020369"
"ASIC0203711";"ASIS008491";"ASIC020371"
"ASIC0203712";"ASIS015315";"ASIC020371"
"ASIC0203721";"ASIS008491";"ASIC020372"
"ASIC0203722";"ASIS015315";"ASIC020372"
"ASIC020375";"ASIS012140";"ASIC020375"
"ASIC020378";"ASIS002656";"ASIC020378"
"ASIC020379";"ASIS010980";"ASIC020379"
"ASIC020380";"ASIS003421";"ASIC020380"
"ASIC0203811";"ASIS012107";"ASIC020381"
"ASIC0203812";"ASIS021770";"ASIC020381"
"ASIC020384";"ASIS001165";"ASIC020384"
"ASIC020386";"ASIS017264";"ASIC020386"
"ASIC0203921";"ASIS009937";"ASIC020392"
"ASIC0203922";"ASIS016310";"ASIC020392"
"ASIC020394";"ASIS011674";"ASIC020394"
"ASIC020395";"ASIS013230";"ASIC020395"
"ASIC020396";"ASIS019322";"ASIC020396"
"ASIC020397";"ASIS019322";"ASIC020397"
"ASIC020400";"ASIS005683";"ASIC020400"
"ASIC020402";"ASIS005683";"ASIC020402"
"ASIC020404";"ASIS005683";"ASIC020404"
"ASIC020407";"ASIS003443";"ASIC020407"
"ASIC006283";"ASIS008422";"ASIC006283"
"ASIC006294";"ASIS017070";"ASIC006294"
"ASIC006305";"ASIS021071";"ASIC006305"
"ASIC006316";"ASIS017155";"ASIC006316"
"ASIC006327";"ASIS017155";"ASIC006327"
"ASIC006338";"ASIS002019";"ASIC006338"
"ASIC006360";"ASIS022446";"ASIC006360"
"ASIC006202";"ASIS003793";"ASIC006202"
"ASIC006224";"ASIS006502";"ASIC006224"
"ASIC006268";"ASIS010993";"ASIC006268"
"ASIC006286";"ASIS018128";"ASIC006286"
"ASIC0062871";"ASIS012592";"ASIC006287"
"ASIC0062872";"ASIS019698";"ASIC006287"
"ASIC006288";"ASIS010272";"ASIC006288"
"ASIC006289";"ASIS021496";"ASIC006289"
"ASIC006290";"ASIS021496";"ASIC006290"
"ASIC006302";"ASIS010311";"ASIC006302"
"ASIC006303";"ASIS005673";"ASIC006303"
"ASIC006304";"ASIS012137";"ASIC006304"
"ASIC0063091";"ASIS005184";"ASIC006309"
"ASIC0063092";"ASIS016751";"ASIC006309"
"ASIC006310";"ASIS005184";"ASIC006310"
"ASIC0063111";"ASIS007700";"ASIC006311"
"ASIC0063112";"ASIS020731";"ASIC006311"
"ASIC006312";"ASIS020731";"ASIC006312"
"ASIC006318";"ASIS020496";"ASIC006318"
"ASIC006321";"ASIS002484";"ASIC006321"
"ASIC006324";"ASIS020501";"ASIC006324"
"ASIC006325";"ASIS017593";"ASIC006325"
"ASIC006335";"ASIS017161";"ASIC006335"
"ASIC006342";"ASIS004119";"ASIC006342"
"ASIC006343";"ASIS021367";"ASIC006343"
"ASIC0063441";"ASIS008787";"ASIC006344"
"ASIC0063442";"ASIS009986";"ASIC006344"
"ASIC006345";"ASIS023529";"ASIC006345"
"ASIC006346";"ASIS007639";"ASIC006346"
"ASIC006352";"ASIS010409";"ASIC006352"
"ASIC006354";"ASIS022035";"ASIC006354"
"ASIC006355";"ASIS019870";"ASIC006355"
"ASIC006356";"ASIS015811";"ASIC006356"
"ASIC006357";"ASIS017105";"ASIC006357"
"ASIC006362";"ASIS019019";"ASIC006362"
"ASIC0063671";"ASIS005871";"ASIC006367"
"ASIC0063672";"ASIS014837";"ASIC006367"
"ASIC006368";"ASIS014472";"ASIC006368"
"ASIC006196";"ASIS023521";"ASIC006196"
"ASIC006197";"ASIS019482";"ASIC006197"
"ASIC006198";"ASIS009935";"ASIC006198"
"ASIC006201";"ASIS003143";"ASIC006201"
"ASIC006206";"ASIS011897";"ASIC006206"
"ASIC006210";"ASIS022067";"ASIC006210"
"ASIC006211";"ASIS013445";"ASIC006211"
"ASIC006212";"ASIS002050";"ASIC006212"
"ASIC006214";"ASIS004127";"ASIC006214"
"ASIC006215";"ASIS004127";"ASIC006215"
"ASIC0062191";"ASIS004009";"ASIC006219"
"ASIC0062192";"ASIS005403";"ASIC006219"
"ASIC006220";"ASIS004009";"ASIC006220"
"ASIC006221";"ASIS008605";"ASIC006221"
"ASIC0062231";"ASIS000246";"ASIC006223"
"ASIC0062232";"ASIS003942";"ASIC006223"
"ASIC0062251";"ASIS000246";"ASIC006225"
"ASIC0062252";"ASIS003942";"ASIC006225"
"ASIC0062253";"ASIS004951";"ASIC006225"
"ASIC006226";"ASIS022335";"ASIC006226"
"ASIC006228";"ASIS010130";"ASIC006228"
"ASIC0062301";"ASIS003842";"ASIC006230"
"ASIC0062302";"ASIS020531";"ASIC006230"
"ASIC0062311";"ASIS003842";"ASIC006231"
